#  im_file        filter  tile  dither  sky_level   FWHM
# Tile 1
/Volumes/RAID/Magellanic_stream/DECam/20140809/pipeline/images/ms_t1_d7_z.fits    z    1    7     13096.9  600.0  3.51   
/Volumes/RAID/Magellanic_stream/DECam/20140809/pipeline/images/ms_t1_d8_z.fits    z    1    8     12939.8  600.0  3.33   
/Volumes/RAID/Magellanic_stream/DECam/20140809/pipeline/images/ms_t1_d9_z.fits    z    1    9     13364.9  600.0  2.93   
/Volumes/RAID/Magellanic_stream/DECam/20140809/pipeline/images/ms_t1_d10_z.fits   z    1    10    13317.0  600.0  2.77   
/Volumes/RAID/Magellanic_stream/DECam/20140809/pipeline/images/ms_t1_d11_z.fits   z    1    11    13591.4  600.0  3.04   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d1_z.fits    z    1    1     17096.3  600.0  5.17   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d2_z.fits    z    1    2     21619.8  600.0  4.69   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d3_z.fits    z    1    3     24682.1  600.0  4.89   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d4_z.fits    z    1    4     24898.7  600.0  5.41   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d5_z.fits    z    1    5     30234.1  600.0  5.45   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d1_i.fits    i    1    1     14398.7  600.0  7.76   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d2_i.fits    i    1    2     14006.3  600.0  8.92   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d3_i.fits    i    1    3     13503.8  600.0  9.86   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d4_i.fits    i    1    4     13011.8  600.0  9.12   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d1_g.fits    g    1    1     1528.7   600.0  6.59   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d2_g.fits    g    1    2     2791.4   600.0  7.08   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d5_i.fits    i    1    5     17925.1  600.0  6.08   
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d6_i.fits    i    1    6     23697.7  600.0  5.44   
# Tile 2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d1_i.fits    i    2    1     6588.2    600.0		9.27
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d2_i.fits    i    2    2     6426.2    600.0   10.00
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d3_i.fits    i    2    3     7136.1    600.0       9.20
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d4_i.fits    i    2    4     3019.5    600.0       5.73
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d5_i.fits    i    2    5     3069.3    600.0       4.96
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d6_i.fits    i    2    6     2934.1    600.0       4.83
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d1_g.fits    g    2    1     587.0     600.0       5.63
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d2_g.fits    g    2    2     583.2     600.0       4.69
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d3_g.fits    g    2    3     584.4     600.0       4.63
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d4_g.fits    g    2    4     604.5     600.0       5.21
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d5_g.fits    g    2    5     609.1     600.0       4.42
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d6_g.fits    g    2    6     606.9     600.0       4.71
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d7_i.fits    i    2    7     4861.9    600.0       4.58
