# FILE  FILTER  TILE  DITHER  SKY_LEVEL  FWHM  EXPTIME
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d3_g.fits    g    4    3    601.3    6.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d6_i.fits    i    6    6    5317.3    4.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d7_i.fits    i    6    7    5030.3    4.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d8_i.fits    i    6    8    5103.7    4.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d1_g.fits    g    5    1    625.6    5.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d2_g.fits    g    5    2    629.8    5.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d3_g.fits    g    5    3    629.5    5.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d1_g.fits    g    6    1    644.9    5.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d2_g.fits    g    6    2    661.8    5.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d3_g.fits    g    6    3    657.1    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d4_i.fits    i    7    4    5643.6    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d5_i.fits    i    7    5    5620.1    4.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d6_i.fits    i    7    6    5748.9    4.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d1_g.fits    g    7    1    658.2    4.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d2_g.fits    g    7    2    667.7    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d3_g.fits    g    7    3    665.2    4.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d1_g.fits    g    8    1    655.2    4.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d2_g.fits    g    8    2    645.5    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d3_g.fits    g    8    3    651.5    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d5_i.fits    i    8    5    6181.9    4.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d6_i.fits    i    8    6    6638.1    5.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d7_i.fits    i    8    7    6671.0    6.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d8_i.fits    i    1    8    4990.5    5.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d9_i.fits    i    1    9    4971.5    5.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d10_i.fits    i    1    10    5005.3    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d4_g.fits    g    1    4    599.1    5.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d5_g.fits    g    1    5    593.4    5.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d6_g.fits    g    1    6    596.7    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d4_g.fits    g    2    4    604.5    5.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d5_g.fits    g    2    5    609.1    5.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d6_g.fits    g    2    6    606.9    5.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d4_g.fits    g    3    4    606.4    6.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d5_g.fits    g    3    5    617.5    6.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d6_g.fits    g    3    6    616.0    6.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d7_i.fits    i    2    7    4861.9    4.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d8_i.fits    i    2    8    4932.6    4.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d9_i.fits    i    2    9    4982.0    5.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d7_i.fits    i    3    7    4339.5    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d8_i.fits    i    3    8    4345.7    5.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d9_i.fits    i    3    9    4405.7    5.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d7_i.fits    i    4    7    4094.2    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d8_i.fits    i    4    8    4106.0    4.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d9_i.fits    i    4    9    3812.0    4.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d4_g.fits    g    4    4    635.1    5.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d5_g.fits    g    4    5    645.3    4.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d6_g.fits    g    4    6    645.2    4.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d4_g.fits    g    5    4    635.6    5.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d5_g.fits    g    5    5    651.7    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d6_g.fits    g    5    6    655.7    5.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d7_i.fits    i    5    7    4346.1    4.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d8_i.fits    i    5    8    4345.3    4.6    600.0
