#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140809_055925_ooi_z_v1.fits.fz    z    1    1    c4d_140809_055925_oow_z_v1.fits.fz    31.50     0.0    56878.242051    600.0    60
c4d_140809_060951_ooi_z_v1.fits.fz    z    1    2    c4d_140809_060951_oow_z_v1.fits.fz    31.50     0.0    56878.249321    600.0    60
c4d_140809_062020_ooi_z_v1.fits.fz    z    1    3    c4d_140809_062020_oow_z_v1.fits.fz    31.50     0.0    56878.256582    600.0    60
c4d_140809_063048_ooi_z_v1.fits.fz    z    1    4    c4d_140809_063048_oow_z_v1.fits.fz    31.50     0.0    56878.263852    600.0    60
c4d_140809_064114_ooi_z_v1.fits.fz    z    1    5    c4d_140809_064114_oow_z_v1.fits.fz    31.50     0.0    56878.271109    600.0    60
c4d_140809_065144_ooi_z_v1.fits.fz    z    1    6    c4d_140809_065144_oow_z_v1.fits.fz    31.50     0.0    56878.278378    600.0    60
c4d_140809_070210_ooi_z_v1.fits.fz    z    1    7    c4d_140809_070210_oow_z_v1.fits.fz    31.50     0.0    56878.285646    600.0    60
c4d_140809_071237_ooi_z_v1.fits.fz    z    1    8    c4d_140809_071237_oow_z_v1.fits.fz    31.50     0.0    56878.292913    600.0    60
c4d_140809_072308_ooi_z_v1.fits.fz    z    1    9    c4d_140809_072308_oow_z_v1.fits.fz    31.50     0.0    56878.300182    600.0    60
c4d_140809_073335_ooi_z_v1.fits.fz    z    1    10    c4d_140809_073335_oow_z_v1.fits.fz    31.50     0.0    56878.307445    600.0    60
c4d_140809_074403_ooi_z_v1.fits.fz    z    1    11    c4d_140809_074403_oow_z_v1.fits.fz    31.50     0.0    56878.314720    600.0    60
c4d_140810_055818_ooi_z_v1.fits.fz    z    2    1    c4d_140810_055818_oow_z_v1.fits.fz    31.50     0.0    56879.244764    300.0    60
c4d_140810_060348_ooi_z_v1.fits.fz    z    2    2    c4d_140810_060348_oow_z_v1.fits.fz    31.50     0.0    56879.248583    300.0    60
c4d_140810_060915_ooi_z_v1.fits.fz    z    2    3    c4d_140810_060915_oow_z_v1.fits.fz    31.50     0.0    56879.252381    300.0    60
c4d_140810_061447_ooi_z_v1.fits.fz    z    2    4    c4d_140810_061447_oow_z_v1.fits.fz    31.50     0.0    56879.256185    300.0    60
c4d_140810_062017_ooi_z_v1.fits.fz    z    2    5    c4d_140810_062017_oow_z_v1.fits.fz    31.50     0.0    56879.259999    300.0    60
c4d_140810_062545_ooi_z_v1.fits.fz    z    2    6    c4d_140810_062545_oow_z_v1.fits.fz    31.50     0.0    56879.263804    300.0    60
c4d_140810_063112_ooi_z_v1.fits.fz    z    2    7    c4d_140810_063112_oow_z_v1.fits.fz    31.50     0.0    56879.267622    300.0    60
c4d_140810_063644_ooi_z_v1.fits.fz    z    2    8    c4d_140810_063644_oow_z_v1.fits.fz    31.50     0.0    56879.271420    300.0    60
c4d_140810_064214_ooi_z_v1.fits.fz    z    2    9    c4d_140810_064214_oow_z_v1.fits.fz    31.50     0.0    56879.275223    300.0    60
c4d_140810_064741_ooi_z_v1.fits.fz    z    2    10    c4d_140810_064741_oow_z_v1.fits.fz    31.50     0.0    56879.279044    300.0    60
c4d_140810_065309_ooi_z_v1.fits.fz    z    2    11    c4d_140810_065309_oow_z_v1.fits.fz    31.50     0.0    56879.282851    300.0    60
c4d_140810_065839_ooi_z_v1.fits.fz    z    2    12    c4d_140810_065839_oow_z_v1.fits.fz    31.50     0.0    56879.286650    300.0    60
c4d_140810_070406_ooi_z_v1.fits.fz    z    2    13    c4d_140810_070406_oow_z_v1.fits.fz    31.50     0.0    56879.290456    300.0    60
c4d_140810_070934_ooi_z_v1.fits.fz    z    2    14    c4d_140810_070934_oow_z_v1.fits.fz    31.50     0.0    56879.294251    300.0    60
c4d_140810_071504_ooi_z_v1.fits.fz    z    9    1    c4d_140810_071504_oow_z_v1.fits.fz    31.50     0.0    56879.298047    300.0    60
