#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_150908_025115_ooi_z_v1.fits.fz    z    2    1    c4d_150908_025115_oow_z_v1.fits.fz    31.22     0.0    57273.114852    300.0    60
c4d_150908_025645_ooi_z_v1.fits.fz    z    2    2    c4d_150908_025645_oow_z_v1.fits.fz    31.25     0.0    57273.118661    300.0    60
c4d_150908_030214_ooi_z_v1.fits.fz    z    2    3    c4d_150908_030214_oow_z_v1.fits.fz    31.21     0.0    57273.122466    300.0    60
c4d_150908_030741_ooi_z_v1.fits.fz    z    2    4    c4d_150908_030741_oow_z_v1.fits.fz    31.29     0.0    57273.126276    300.0    60
c4d_150908_031314_ooi_z_v1.fits.fz    z    2    5    c4d_150908_031314_oow_z_v1.fits.fz    31.27     0.0    57273.130078    300.0    60
c4d_150908_031840_ooi_z_v1.fits.fz    z    2    6    c4d_150908_031840_oow_z_v1.fits.fz    31.30     0.0    57273.133880    300.0    60
c4d_150908_032409_ooi_z_v1.fits.fz    z    2    7    c4d_150908_032409_oow_z_v1.fits.fz    31.28     0.0    57273.137689    300.0    60
c4d_150908_032937_ooi_z_v1.fits.fz    z    2    8    c4d_150908_032937_oow_z_v1.fits.fz    31.26     0.0    57273.141482    300.0    60
c4d_150908_033505_ooi_z_v1.fits.fz    z    2    9    c4d_150908_033505_oow_z_v1.fits.fz    31.29     0.0    57273.145289    300.0    60
c4d_150908_034032_ooi_z_v1.fits.fz    z    2    10    c4d_150908_034032_oow_z_v1.fits.fz    31.31     0.0    57273.149080    300.0    60
c4d_150908_034601_ooi_i_v1.fits.fz    i    2    1    c4d_150908_034601_oow_i_v1.fits.fz    31.55     0.0    57273.152881    300.0    60
c4d_150908_035301_ooi_z_v1.fits.fz    z    4    1    c4d_150908_035301_oow_z_v1.fits.fz    32.49     0.0    57273.157753    300.0    60
c4d_150908_035830_ooi_z_v1.fits.fz    z    4    2    c4d_150908_035830_oow_z_v1.fits.fz    32.48     0.0    57273.161549    300.0    60
c4d_150908_040357_ooi_z_v1.fits.fz    z    4    3    c4d_150908_040357_oow_z_v1.fits.fz    32.44     0.0    57273.165349    300.0    60
c4d_150908_040927_ooi_z_v1.fits.fz    z    4    4    c4d_150908_040927_oow_z_v1.fits.fz    32.45     0.0    57273.169144    300.0    60
c4d_150908_041504_ooi_z_v1.fits.fz    z    4    5    c4d_150908_041504_oow_z_v1.fits.fz    32.47     0.0    57273.172947    300.0    60
