#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d1_z.fits    z    4    1    10998.3    8.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d2_z.fits    z    4    2    10646.1    8.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d3_z.fits    z    4    3    10298.1    7.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d4_z.fits    z    4    4    9917.1    8.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d5_z.fits    z    4    5    9759.3    6.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d6_z.fits    z    4    6    9801.6    6.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d7_z.fits    z    4    7    9843.6    6.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d8_z.fits    z    4    8    9638.2    6.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d9_z.fits    z    4    9    9537.9    6.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d10_z.fits    z    4    10    9383.1    6.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d1_z.fits    z    6    1    9266.7    6.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d2_z.fits    z    6    2    9079.8    6.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d3_z.fits    z    6    3    8895.1    6.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d4_z.fits    z    6    4    8492.1    6.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d5_z.fits    z    6    5    8450.3    7.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d6_z.fits    z    6    6    8346.7    6.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d7_z.fits    z    6    7    8589.3    6.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d8_z.fits    z    6    8    8861.8    6.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d9_z.fits    z    6    9    8917.0    6.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t6_d10_z.fits    z    6    10    9172.2    6.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d1_z.fits    z    7    1    9044.8    6.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d2_z.fits    z    7    2    8633.5    6.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d3_z.fits    z    7    3    8955.2    6.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d4_z.fits    z    7    4    8664.0    5.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d5_z.fits    z    7    5    8792.4    6.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d6_z.fits    z    7    6    8589.3    6.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d7_z.fits    z    7    7    8664.9    5.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d8_z.fits    z    7    8    8737.2    6.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d9_z.fits    z    7    9    8610.2    5.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t7_d10_z.fits    z    7    10    8791.4    5.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d1_z.fits    z    2    1    8707.3    6.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d2_z.fits    z    2    2    8714.3    6.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d3_z.fits    z    2    3    8690.5    6.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d4_z.fits    z    2    4    8748.9    6.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d5_z.fits    z    2    5    8873.4    6.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d6_z.fits    z    2    6    9500.8    6.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d7_z.fits    z    2    7    10017.5    6.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d8_z.fits    z    2    8    10035.4    7.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d9_z.fits    z    2    9    9837.8    7.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d10_z.fits    z    2    10    9630.7    6.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d1_z.fits    z    1    1    17096.3    5.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d2_z.fits    z    1    2    21619.8    5.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d3_z.fits    z    1    3    24682.1    5.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d4_z.fits    z    1    4    24898.7    5.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t1_d5_z.fits    z    1    5    30234.1    5.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d11_z.fits    z    2    11    27048.8    5.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t2_d12_z.fits    z    2    12    21613.1    5.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t3_d1_z.fits    z    3    1    21769.7    5.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t3_d2_z.fits    z    3    2    15249.7    5.1
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t3_d3_z.fits    z    3    3    14944.5    5.7
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t3_d4_z.fits    z    3    4    13928.0    5.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t3_d5_z.fits    z    3    5    10604.9    5.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d11_z.fits    z    4    11    35081.2    6.4
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d12_z.fits    z    4    12    60912.1    0.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d13_z.fits    z    4    13    56579.3    0.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d1_z.fits    z    5    1    14797.8    4.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d2_z.fits    z    5    2    14247.4    4.8
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d3_z.fits    z    5    3    14856.5    4.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d4_z.fits    z    5    4    16273.6    5.3
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d5_z.fits    z    5    5    14978.6    4.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d6_z.fits    z    5    6    15638.2    4.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d7_z.fits    z    5    7    17754.7    4.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d8_z.fits    z    5    8    17214.1    4.0
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d9_z.fits    z    5    9    17085.3    4.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t5_d10_z.fits    z    5    10    17118.5    4.9
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d14_z.fits    z    4    14    9219.1    4.6
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d15_z.fits    z    4    15    9046.0    5.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d16_z.fits    z    4    16    9645.9    6.2
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d17_z.fits    z    4    17    8718.1    6.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d18_z.fits    z    4    18    9551.4    5.5
/Volumes/RAID/Magellanic_stream/DECam/20140909/pipeline/images/ms_t4_d19_z.fits    z    4    19    9865.9    5.1
