#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
tu2158581.fits.fz    z    5    1    tu2158721.fits.fz    32.36     0.0    56612.105577    600.0    61
tu2158614.fits.fz    z    5    2    tu2158615.fits.fz    32.19     0.0    56612.112847    600.0    61
tu2158577.fits.fz    z    5    3    tu2158578.fits.fz    32.48     0.0    56612.120142    600.0    61
tu2158531.fits.fz    z    5    4    tu2158718.fits.fz    31.80     0.0    56612.127584    600.0    61
tu2158716.fits.fz    z    5    5    tu2158650.fits.fz    32.03     0.0    56612.134863    600.0    61
tu2158648.fits.fz    z    5    6    tu2158530.fits.fz    32.12     0.0    56612.142142    600.0    61
tu2158678.fits.fz    z    5    7    tu2158454.fits.fz    31.94     0.0    56612.149418    600.0    61
tu2158677.fits.fz    z    5    8    tu2158676.fits.fz    32.02     0.0    56612.156695    600.0    61
tu2158574.fits.fz    z    5    9    tu2158575.fits.fz    31.85     0.0    56612.163975    600.0    61
tu2158643.fits.fz    z    5    10    tu2158610.fits.fz    31.98     0.0    56612.171248    600.0    61
tu2158645.fits.fz    z    5    11    tu2158670.fits.fz    32.16     0.0    56612.178524    600.0    61
tu2158639.fits.fz    z    5    12    tu2158449.fits.fz    31.66     0.0    56612.185818    600.0    61
tu2158488.fits.fz    z    3    1    tu2158444.fits.fz    30.51     0.0    56613.152716    600.0    61
tu2158442.fits.fz    z    3    2    tu2158520.fits.fz    30.43     0.0    56613.160009    600.0    61
tu2158489.fits.fz    z    3    3    tu2158484.fits.fz    30.55     0.0    56613.167286    600.0    61
tu2158704.fits.fz    z    3    4    tu2158703.fits.fz    30.32     0.0    56613.175272    600.0    61
tu2158433.fits.fz    z    3    5    tu2158483.fits.fz    30.31     0.0    56613.182553    600.0    61
tu2158480.fits.fz    z    3    6    tu2158630.fits.fz    30.30     0.0    56613.189836    600.0    61
tu2158699.fits.fz    z    3    7    tu2158598.fits.fz    30.53     0.0    56613.197782    600.0    61
tu2158560.fits.fz    z    3    8    tu2158627.fits.fz    30.27     0.0    56613.205072    600.0    61
tu2158432.fits.fz    z    3    9    tu2158663.fits.fz    30.44     0.0    56613.212351    600.0    61
tu2158511.fits.fz    z    3    10    tu2158695.fits.fz    30.36     0.0    56613.220333    600.0    61
tu2158593.fits.fz    z    3    11    tu2158625.fits.fz    30.27     0.0    56613.227626    600.0    61
tu2158594.fits.fz    z    9    1    tu2158696.fits.fz    30.20     0.0    56613.234903    600.0    61
