#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
tu1843490.fits.fz    g    5    3    tu1843090.fits.fz    30.92     0.0    56514.313776    600.0    61
tu1843165.fits.fz    g    6    1    tu1843166.fits.fz    31.19     0.0    56514.321741    600.0    61
tu1842922.fits.fz    g    6    2    tu1842842.fits.fz    31.28     0.0    56514.329038    600.0    61
tu1842921.fits.fz    g    6    3    tu1843410.fits.fz    31.23     0.0    56514.336319    600.0    61
tu1844410.fits.fz    i    7    4    tu1844683.fits.fz    32.49     0.0    56514.344388    600.0    61
tu1844487.fits.fz    i    7    5    tu1844681.fits.fz    32.51     0.0    56514.351676    600.0    61
tu1844484.fits.fz    i    7    6    tu1844184.fits.fz    32.18     0.0    56514.358976    600.0    61
tu1842983.fits.fz    g    7    1    tu1843620.fits.fz    30.71     0.0    56514.366259    600.0    61
tu1843486.fits.fz    g    7    2    tu1843485.fits.fz    30.77     0.0    56514.373531    600.0    61
tu1843065.fits.fz    g    7    3    tu1843618.fits.fz    30.76     0.0    56514.380814    600.0    61
tu1842892.fits.fz    g    8    1    tu1843614.fits.fz    30.66     0.0    56514.388868    600.0    61
tu1843161.fits.fz    g    8    2    tu1843478.fits.fz    30.70     0.0    56514.396139    600.0    61
tu1842837.fits.fz    g    8    3    tu1842889.fits.fz    30.72     0.0    56514.403442    600.0    61
tu1843881.fits.fz    i    8    5    tu1844485.fits.fz    32.19     0.0    56514.410717    600.0    61
tu1843713.fits.fz    i    8    6    tu1843880.fits.fz    32.38     0.0    56514.418132    600.0    61
tu1843711.fits.fz    i    8    7    tu1844613.fits.fz    32.67     0.0    56514.425421    600.0    61
tu1844255.fits.fz    i    9    4    tu1843879.fits.fz    32.43     0.0    56514.433470    600.0    61
tu1844408.fits.fz    i    9    5    tu1844614.fits.fz    31.5     0.0    56514.440750    600.0    61
tu1844768.fits.fz    i    1    8    tu1844180.fits.fz    31.76     0.0    56515.107616    600.0    61
tu1843872.fits.fz    i    1    9    tu1844611.fits.fz    31.69     0.0    56515.114909    600.0    61
tu1844335.fits.fz    i    1    10    tu1844178.fits.fz    31.93     0.0    56515.122222    600.0    61
tu1845922.fits.fz    z    1    1    tu1845855.fits.fz    31.21     0.0    56515.129504    330.0    61
tu1845790.fits.fz    z    1    2    tu1845791.fits.fz    31.29     0.0    56515.133671    330.0    61
tu1845854.fits.fz    z    1    3    tu1845971.fits.fz    31.42     0.0    56515.137806    330.0    61
tu1845851.fits.fz    z    1    4    tu1846035.fits.fz    31.80     0.0    56515.141975    330.0    61
tu1845848.fits.fz    z    1    5    tu1846032.fits.fz    31.79     0.0    56515.146124    330.0    61
tu1845909.fits.fz    z    1    6    tu1845845.fits.fz    31.78     0.0    56515.150281    330.0    61
tu1843052.fits.fz    g    1    4    tu1843255.fits.fz    30.59     0.0    56515.155112    600.0    61
tu1843461.fits.fz    g    1    5    tu1843199.fits.fz    30.69     0.0    56515.162391    600.0    61
tu1843462.fits.fz    g    1    6    tu1843195.fits.fz    30.63     0.0    56515.169687    600.0    61
tu1843087.fits.fz    g    2    4    tu1843153.fits.fz    30.65     0.0    56515.186531    600.0    61
tu1843460.fits.fz    g    2    5    tu1843648.fits.fz    30.51     0.0    56515.193841    600.0    61
tu1843548.fits.fz    g    2    6    tu1843250.fits.fz    30.58     0.0    56515.201124    600.0    61
tu1842828.fits.fz    g    3    4    tu1843147.fits.fz    31.08     0.0    56515.209266    600.0    61
tu1843023.fits.fz    g    3    5    tu1843546.fits.fz    31.09     0.0    56515.216548    600.0    61
tu1842974.fits.fz    g    3    6    tu1842975.fits.fz    31.10     0.0    56515.223834    600.0    61
tu1843706.fits.fz    i    2    7    tu1844250.fits.fz    31.83     0.0    56515.231925    600.0    61
tu1843959.fits.fz    i    2    8    tu1844481.fits.fz    31.74     0.0    56515.239222    600.0    61
tu1844607.fits.fz    i    2    9    tu1844398.fits.fz    31.87     0.0    56515.246504    600.0    61
tu1844478.fits.fz    i    3    7    tu1844830.fits.fz    32.13     0.0    56515.254667    600.0    61
tu1844175.fits.fz    i    3    8    tu1844247.fits.fz    32.22     0.0    56515.261970    600.0    61
tu1844554.fits.fz    i    3    9    tu1843773.fits.fz    32.17     0.0    56515.269273    600.0    61
tu1843769.fits.fz    i    4    7    tu1843946.fits.fz    33.00     0.0    56515.286762    600.0    61
tu1844088.fits.fz    i    4    8    tu1844475.fits.fz    33.14     0.0    56515.294066    600.0    61
tu1844672.fits.fz    i    4    9    tu1844476.fits.fz    33.17     0.0    56515.301343    600.0    61
tu1843025.fits.fz    g    4    4    tu1843651.fits.fz    30.89     0.0    56515.308630    600.0    61
tu1842969.fits.fz    g    4    5    tu1843403.fits.fz    30.82     0.0    56515.315905    600.0    61
tu1843141.fits.fz    g    4    6    tu1843191.fits.fz    30.91     0.0    56515.323191    600.0    61
tu1842873.fits.fz    g    5    4    tu1843456.fits.fz    30.98     0.0    56515.331170    600.0    61
tu1843550.fits.fz    g    5    5    tu1843457.fits.fz    30.94     0.0    56515.338452    600.0    61
tu1843152.fits.fz    g    5    6    tu1843502.fits.fz    31.05     0.0    56515.345836    600.0    61
tu1843771.fits.fz    i    5    7    tu1844600.fits.fz    32.68     0.0    56515.363046    600.0    61
tu1844470.fits.fz    i    5    8    tu1844385.fits.fz    32.66     0.0    56515.370351    600.0    61
tu1844331.fits.fz    i    5    9    tu1844823.fits.fz    32.78     0.0    56515.377664    600.0    61
tu1844471.fits.fz    i    5    10    tu1844766.fits.fz    32.81     0.0    56515.384951    600.0    61
tu1843190.fits.fz    g    6    4    tu1843020.fits.fz    31.20     0.0    56515.392941    600.0    61
tu1843574.fits.fz    g    6    5    tu1842824.fits.fz    31.25     0.0    56515.400224    600.0    61
tu1843499.fits.fz    g    6    6    tu1843480.fits.fz    31.29     0.0    56515.407491    600.0    61
tu1843451.fits.fz    g    7    4    tu1843149.fits.fz    30.97     0.0    56515.415590    600.0    61
tu1844237.fits.fz    i    1    11    tu1844325.fits.fz    32.53     0.0    56516.098587    600.0    61
tu1844459.fits.fz    i    1    12    tu1843853.fits.fz    32.42     0.0    56516.105886    600.0    61
tu1844164.fits.fz    i    1    13    tu1844083.fits.fz    31.96     0.0    56516.113171    600.0    61
tu1844547.fits.fz    i    1    14    tu1844320.fits.fz    32.29     0.0    56516.121122    600.0    61
tu1843851.fits.fz    i    1    15    tu1844316.fits.fz    32.38     0.0    56516.128400    600.0    61
tu1843950.fits.fz    i    1    16    tu1844660.fits.fz    32.64     0.0    56516.135677    600.0    61
tu1844162.fits.fz    i    2    10    tu1844545.fits.fz    31.97     0.0    56516.143769    600.0    61
tu1843848.fits.fz    i    2    11    tu1844597.fits.fz    31.99     0.0    56516.151047    600.0    61
tu1844546.fits.fz    i    2    12    tu1844235.fits.fz    32.13     0.0    56516.158324    600.0    61
tu1845837.fits.fz    z    1    7    tu1845958.fits.fz    31.74     0.0    56516.166420    330.0    61
