Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
1425,098.B-0510(A),MS_DV1_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,351.531417,-53.287,0.67302252,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00124_st.fit
1426,098.B-0510(A),MS_DV1_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,351.684292,-53.28691,0.69365746,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00127_st.fit
1427,098.B-0510(A),MS_DV1_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,351.6853,-53.46988,0.59666838,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00130_st.fit
1428,098.B-0510(A),MS_DV1_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,351.531446,-53.4702,0.71044394,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00133_st.fit
1429,098.B-0510(A),MS_DV1_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,351.37725,-53.47009,0.6412876,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00136_st.fit
1430,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,A,358.290867,-52.43722,0.72881788,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00139_st.fit
1431,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,358.4414,-52.4373,0.67753942,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00142_st.fit
1432,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,358.591321,-52.43721,0.61638226,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00145_st.fit
1433,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,358.592283,-52.62019,0.62373612,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00148_st.fit
1434,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,358.441425,-52.6205,0.64241946,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00151_st.fit
1435,098.B-0510(A),MS_DV2_V5_OB11,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,358.29025,-52.6204,0.62476836,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00154_st.fit
