# MJD		filter		zp		k		zp_err		k_err		PHOTFLAG
56513.0    g    26.08    -0.69    0.03    0.02    F
56514.0    g    25.49    -0.16    0.01    0.01    T
56515.0    g    25.58    -0.23    0.01    0.01    T
56516.0    g    26.98    -1.31    0.05    0.04    F
56513.0    i    25.97    -0.49    0.03    0.02    F
56514.0    i    25.45    -0.04    0.01    0.00    T
56515.0    i    25.60    -0.17    0.01    0.01    T
56516.0    i    26.50    -0.94    0.06    0.05    F
56513.0    z    -1.00    -1.00    0.06    0.05    F
56514.0    z    25.14    -0.08    0.01    0.01    T
56515.0    z    25.08    -0.04    0.01    0.01    T
56516.0    z    -1.00    -1.00    0.01    0.01    F
