#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d1_z.fits    z    2    1    6499.7    4.4
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d2_z.fits    z    2    2    6292.9    4.1
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d3_z.fits    z    2    3    6141.5    4.1
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d4_z.fits    z    2    4    5669.2    4.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d5_z.fits    z    2    5    4932.5    3.8
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d6_z.fits    z    2    6    4870.2    4.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d7_z.fits    z    2    7    4328.2    4.3
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d8_z.fits    z    2    8    4289.4    4.2
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d9_z.fits    z    2    9    3970.5    3.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d10_z.fits    z    2    10    3846.6    4.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t2_d1_i.fits    i    2    1    2055.0    4.2
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d1_z.fits    z    4    1    4510.9    4.5
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d2_z.fits    z    4    2    4528.7    4.5
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d3_z.fits    z    4    3    4442.4    5.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d4_z.fits    z    4    4    4206.6    5.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d5_z.fits    z    4    5    3927.6    4.8
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d6_z.fits    z    4    6    3867.7    4.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d7_z.fits    z    4    7    3654.7    4.6
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d8_z.fits    z    4    8    3457.4    4.6
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d9_z.fits    z    4    9    3282.4    4.5
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d10_z.fits    z    4    10    3055.1    4.2
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d11_z.fits    z    4    11    3005.4    4.1
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d12_z.fits    z    4    12    2994.1    4.0
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d13_z.fits    z    4    13    2893.1    3.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d14_z.fits    z    4    14    2728.9    3.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d15_z.fits    z    4    15    2894.8    3.8
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d16_z.fits    z    4    16    2965.4    3.7
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d17_z.fits    z    4    17    2785.3    3.6
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d18_z.fits    z    4    18    3016.3    3.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d19_z.fits    z    4    19    2879.3    4.3
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d20_z.fits    z    4    20    2723.3    3.9
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d21_z.fits    z    4    21    2501.3    4.4
/Volumes/RAID/Magellanic_stream/DECam/20150906/pipeline/images/ms_t4_d1_i.fits    i    4    1    1381.0    3.9
