#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d6_i.fits    i    1    6    3160.2    6.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d7_i.fits    i    1    7    3059.9    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d4_i.fits    i    2    4    3019.5    6.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d5_i.fits    i    2    5    3069.3    5.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d6_i.fits    i    2    6    2934.1    5.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d1_g.fits    g    1    1    578.5    6.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d2_g.fits    g    1    2    580.7    6.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d3_g.fits    g    1    3    581.4    6.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d1_g.fits    g    2    1    587.0    6.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d2_g.fits    g    2    2    583.2    5.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d3_g.fits    g    2    3    584.4    5.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d1_g.fits    g    3    1    582.7    5.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d2_g.fits    g    3    2    587.3    5.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d3_g.fits    g    3    3    582.0    6.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d4_i.fits    i    3    4    4389.5    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d5_i.fits    i    3    5    3908.8    4.8
