# MJD		filter		zp		k		zp_err		k_err		PHOTFLAG
56910.0    g    25.28    -0.17    0.04    0.03    T
56910.0    i    25.61    -0.26    0.01    0.01    T
56910.0    z    25.40    -0.35    0.02    0.01    F
