#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140910_070444_ooi_z_v1.fits.fz    z    2    9    c4d_140910_070444_oow_z_v1.fits.fz    30.92     0.0    56910.289739    400.0    60
c4d_140910_071151_ooi_z_v1.fits.fz    z    2    10    c4d_140910_071151_oow_z_v1.fits.fz    31.10     0.0    56910.294689    400.0    60
c4d_140911_003631_ooi_g_v1.fits.fz    g    1    1    c4d_140911_003631_oow_g_v1.fits.fz    30.91     0.0    56911.017880    600.0    60
c4d_140911_004700_ooi_g_v1.fits.fz    g    1    2    c4d_140911_004700_oow_g_v1.fits.fz    30.70     0.0    56911.025149    600.0    60
c4d_140911_005856_ooi_i_v1.fits.fz    i    1    5    c4d_140911_005856_oow_i_v1.fits.fz    30.83     0.0    56911.033396    600.0    60
c4d_140911_010928_ooi_i_v1.fits.fz    i    1    6    c4d_140911_010928_oow_i_v1.fits.fz    31.05     0.0    56911.040675    600.0    60
c4d_140911_011730_ooi_z_v1.fits.fz    z    1    1    c4d_140911_011730_oow_z_v1.fits.fz    31.05     0.0    56911.048624    400.0    60
c4d_140911_012439_ooi_z_v1.fits.fz    z    1    2    c4d_140911_012439_oow_z_v1.fits.fz    30.94     0.0    56911.053597    400.0    60
c4d_140911_013149_ooi_z_v1.fits.fz    z    1    3    c4d_140911_013149_oow_z_v1.fits.fz    30.76     0.0    56911.058546    400.0    60
c4d_140911_013857_ooi_z_v1.fits.fz    z    1    4    c4d_140911_013857_oow_z_v1.fits.fz    30.71     0.0    56911.063513    400.0    60
c4d_140911_014604_ooi_z_v1.fits.fz    z    1    5    c4d_140911_014604_oow_z_v1.fits.fz    30.43     0.0    56911.068475    400.0    60
c4d_140911_015955_ooi_i_v1.fits.fz    i    2    1    c4d_140911_015955_oow_i_v1.fits.fz     0.00     0.0    56911.075790    600.0    60
c4d_140911_021022_ooi_i_v1.fits.fz    i    2    2    c4d_140911_021022_oow_i_v1.fits.fz    30.85     0.0    56911.083037    600.0    60
